Name,East Side,GCB,2nd,3rd,Dinner,Wakings,Lunch Setup,Lunch Cleanup,Phones,Sober Driver,BCU,Total Details
Worker1,0,0,0,0,0,0,0,0,0,0,0,0
Worker2,0,0,0,0,0,0,0,0,0,0,0,0
Worker3,0,0,0,0,0,0,0,0,0,0,0,0
Worker4,0,0,0,0,0,0,0,0,0,0,0,0
Worker5,0,0,0,0,0,0,0,0,0,0,0,0
Worker6,0,0,0,0,0,0,0,0,0,0,0,0
Worker7,0,0,0,0,0,0,0,0,0,0,0,0
Worker8,0,0,0,0,0,0,0,0,0,0,0,0
Worker9,0,0,0,0,0,0,0,0,0,0,0,0
Worker10,0,0,0,0,0,0,0,0,0,0,0,0
Worker11,0,0,0,0,0,0,0,0,0,0,0,0
Worker12,0,0,0,0,0,0,0,0,0,0,0,0
Worker13,0,0,0,0,0,0,0,0,0,0,0,0
Worker14,0,0,0,0,0,0,0,0,0,0,0,0
Worker15,0,0,0,0,0,0,0,0,0,0,0,0
Worker16,0,0,0,0,0,0,0,0,0,0,0,0
Worker17,0,0,0,0,0,0,0,0,0,0,0,0
Worker18,0,0,0,0,0,0,0,0,0,0,0,0
Worker19,0,0,0,0,0,0,0,0,0,0,0,0
